kode_produk,nama_produk,harga,stok,kategori,last_updated
PRD-8970,topi baseball,109rb,18,PAKAIAN,2024-02-23
PRD-5088, kemeja flanel,,224,clothes,02/06/2023
PRD-7697, sweater rajut   ,257418,487,pakian,2025-02-09
PRD-3580,Jaket Hoodie,$23.36,89,pakian,14/12/2024
PRD-1280,Sepatu Sneakers,66107,268,PAKAIAN,16/11/2025
PRD-5851,   jaket hoodie,$3.42,238,PAKAIAN,2024/02/01 00:34
PRD-1235,JAKET HOODIE,440303,233,PAKAIAN,1764899964
PRD-3441,Kemeja Flanel ,"Rp425565,-",304,pakian,2023/08/22 18:00
PRD-5054,kemeja flanel,199679,469,pakaian,2023-09-22
PRD-4361,CELANA JEANS,"Rp84644,-",47,pakaian,10/08/2025
PRD-3025,  Jaket Hoodie ,"Rp403182,-",288,PAKAIAN,1684673382
PRD-7285,  Celana Jeans,Rp 28.864,90,pakian,22/07/2025
PRD-3701, Kemeja Flanel,78.789,375,pakaian,1720815935
PRD-9199,Celana Jeans,"Rp332104,-",402,pakaian,05-07-2025
PRD-8970,topi baseball,109rb,18,PAKAIAN,2024-02-23
PRD-1385,  Sepatu Sneakers,$16.28,152,pakaian,1730130408
PRD-9069,DRESS CASUAL  ,Rp 111.478,60,pakaian,2026/02/18 22:18
PRD-9433,   Sweater Rajut,$1.44,193,clothes,09-10-2023
PRD-2778,   jaket hoodie,443rb,310,pakaian,19/05/2024
PRD-5771,Topi Baseball   ,,365,clothes,07-12-2025
PRD-7225,kaos polos,,129,pakaian,2024-07-12
PRD-9710,   Kemeja Flanel,308rb,285,clothes,2025-04-07
PRD-6705, jaket hoodie,352.755,29,PAKAIAN,2024-02-27
PRD-7737,kaos polos,194.295,371,pakian,09-13-2024
PRD-5384,Jaket Hoodie,"Rp192742,-",239,clothes,2023/11/16 18:28
PRD-7670,jaket hoodie,188240,411,pakian,1747732830
PRD-4406,TAS RANSEL,,316,pakian,2025-01-25
PRD-6886,kaos polos,,364,pakian,10/02/2026
PRD-9265,kemeja flanel  ,,265,pakian,2023/12/03 11:16
PRD-3567,Topi Baseball,Rp 242.249,355,PAKAIAN,2023/11/13 02:23
PRD-2375,Rok Mini  ,167rb,65,pakian,23/07/2023
PRD-4373,   SEPATU SNEAKERS ,Rp 203.279,87,pakian,2025/07/14 19:39
PRD-1689,Sepatu Sneakers  ,"Rp353918,-",382,clothes,11/03/2024
PRD-1417,Tas Ransel  ,Rp 331.431,329,pakian,11-25-2023
PRD-4246,   Jaket Hoodie,"Rp54060,-",469,pakaian,2023-09-19
PRD-3525,Sweater Rajut,210.889,338,clothes,26/09/2025
PRD-3023, sweater rajut,"Rp309234,-",91,PAKAIAN,2025/04/01 19:00
PRD-2766,sweater rajut ,,417,clothes,2023-08-01
PRD-4830,   Celana Jeans   ,126060,325,clothes,12-16-2024
PRD-8360,   Kemeja Flanel,438.205,342,pakian,2023/07/15 12:50
PRD-7241,Sweater Rajut,Rp 79.330,297,PAKAIAN,09-29-2025
PRD-6820,KEMEJA FLANEL  ,"Rp204868,-",299,pakian,2025/03/09 16:06
PRD-8871,Jaket Hoodie  ,91.009,28,pakian,1685797137
PRD-3750,   CELANA JEANS  ,179.177,319,PAKAIAN,1768462693
PRD-1320,Sweater Rajut,,436,clothes,1725534866
PRD-7128,  sepatu sneakers,,39,pakian,03-14-2025
PRD-4050,rok mini,,374,clothes,2024/03/30 03:28
PRD-7357,Tas Ransel,,344,pakaian,1754225126
PRD-1118,KAOS POLOS,"Rp321285,-",213,clothes,11/10/2024
PRD-6998,JAKET HOODIE,453482,121,clothes,2024/07/21 08:39
PRD-5846,TOPI BASEBALL  ,"Rp360767,-",82,clothes,1761469280
PRD-2864,Rok Mini   ,,269,pakian,2024-06-09
PRD-4485,   Tas Ransel,$23.38,22,pakaian,14/10/2023
PRD-9998,KAOS POLOS,295rb,222,pakian,2023-07-20
PRD-2036,kaos polos   ,"Rp65645,-",402,pakian,1705682674
PRD-3969,  Tas Ransel  ,354rb,140,pakian,2023/12/28 00:56
PRD-2956,   topi baseball,220200,449,clothes,09-04-2023
PRD-2391,sweater rajut ,$1.36,19,clothes,2024/07/09 01:53
PRD-2481,CELANA JEANS   ,Rp 375.364,110,pakian,20/12/2024
PRD-9037,sepatu sneakers   ,,286,clothes,13/05/2026
PRD-2540,  Kemeja Flanel  ,$1.87,158,clothes,06/09/2025
PRD-8925,Celana Jeans,"Rp104568,-",66,pakian,1703417572
PRD-7503,  Celana Jeans  ,,108,clothes,2025-02-10
PRD-2134,Topi Baseball,355.069,103,pakian,19/06/2024
PRD-1295, jaket hoodie,214rb,39,pakaian,05-18-2024
PRD-7284,  celana jeans   ,,315,pakian,12-18-2025
PRD-2314,  TOPI BASEBALL  ,105.212,458,pakian,2023/07/30 07:10
PRD-5412, dress casual,$16.5,485,PAKAIAN,11/06/2025
PRD-9375,Kemeja Flanel,395rb,337,pakaian,10-09-2023
PRD-1906,  kaos polos,,459,pakian,2025-06-05
PRD-6886,kaos polos,,364,pakian,10/02/2026
PRD-8373,Dress Casual,,320,PAKAIAN,07-06-2023
PRD-3014,TAS RANSEL,278.269,164,pakian,2024-11-15
PRD-9029,Dress Casual,$15.89,91,pakaian,09-08-2023
PRD-2100,   Topi Baseball  ,349722,346,PAKAIAN,18/10/2023
PRD-3476,sepatu sneakers,,492,pakaian,2024-10-05
PRD-3653, sepatu sneakers  ,"Rp41488,-",489,pakian,27/04/2026
